,columns,Feature Importance
0,revenue_scaled,0.5147975186580398
1,budget_x_scaled,0.2568310542173252
2,status_scaled,0.07632085710247002
3,orig_lang_scaled,0.03226615571188063
4,country_scaled,0.08876821164994633
5,g_cluster_0,0.00892439051397866
6,g_cluster_1,0.007595340569289703
7,g_cluster_2,0.007152235601489892
8,g_cluster_3,0.007344235975579712
